no_board,time,gas_smoke,temperature,humidity,lat,long,proba,is_fire
1,2023-08-08 12:30:00,24787.09,33.92727272727272,60.97272727272727,13.677305555555556,100.45544444444445,0.020866368,0.0
1,2023-08-08 12:31:00,15321.804666666667,33.79333333333333,61.086666666666666,13.677305555555556,100.45544444444445,0.06762306,0.0
1,2023-08-08 12:32:00,13357.594444444445,33.53333333333333,61.4388888888889,13.677305555555556,100.45544444444445,0.11065955,0.0
1,2023-08-08 12:33:00,17933.93176470588,33.2764705882353,61.93529411764706,13.677305555555556,100.45544444444445,0.89529365,1.0
1,2023-08-08 12:34:00,26732.64152173913,33.09130434782609,62.31739130434782,13.677305555555556,100.45544444444445,0.9662382,1.0
1,2023-08-08 12:35:00,38180.78384615385,33.36923076923077,62.02307692307692,13.677305555555556,100.45544444444445,0.1469571,0.07692307692307693
1,2023-08-08 12:36:00,40424.66529411765,33.817647058823525,61.2,13.677305555555556,100.45544444444445,0.001499902,0.0
1,2023-08-08 12:37:00,30039.264117647057,33.99411764705882,60.48235294117647,13.677305555555556,100.45544444444445,0.005932025,0.0
1,2023-08-08 12:38:00,28928.674285714285,34.128571428571426,60.357142857142854,13.677305555555554,100.45544444444445,0.0033106564,0.0
1,2023-08-08 12:39:00,54049.248,34.484,59.376000000000005,13.677305555555556,100.45544444444445,0.008561875,0.0
1,2023-08-08 12:40:00,54240.946923076925,34.51538461538461,59.05384615384616,13.677305555555556,100.45544444444445,0.010188575,0.0
1,2023-08-08 12:41:00,33040.18617647059,34.2764705882353,59.48823529411764,13.677305555555556,100.45544444444445,0.007793833,0.0
1,2023-08-08 12:42:00,51063.07575,33.87,60.31,13.677305555555558,100.45544444444445,0.06657501,0.0
1,2023-08-08 12:43:00,59428.527934782614,33.18260869565218,61.81304347826087,13.677305555555556,100.45544444444445,0.9545871,1.0
1,2023-08-08 12:44:00,49898.1602,33.452,61.684,13.677305555555556,100.45544444444445,0.9101363,1.0
1,2023-08-08 12:45:00,49216.14949999999,33.50666666666667,61.43333333333333,13.677305555555556,100.45544444444445,0.12540492,0.0
1,2023-08-08 12:46:00,19665.388750000002,33.63333333333333,62.166666666666664,13.677305555555556,100.45544444444447,0.07426954,0.0
1,2023-08-08 12:47:00,1481.8221428571428,34.0,63.15,13.677305555555554,100.45544444444445,0.0019443386,0.0
1,2023-08-08 12:48:00,1407.8999999999999,34.06666666666667,63.73333333333333,13.677305555555556,100.45544444444447,0.0038120802,0.0
1,2023-08-08 12:49:00,1059.3285714285714,33.99285714285714,62.67142857142857,13.677305555555554,100.45544444444445,0.0036873661,0.0
1,2023-08-08 12:50:00,940.5375,33.68333333333333,63.041666666666664,13.677305555555556,100.45544444444447,0.005075172,0.0
1,2023-08-08 12:51:00,1550.3115,33.6,62.56,13.677305555555558,100.45544444444445,0.0036076927,0.0
1,2023-08-08 12:52:00,752.9433333333333,33.86666666666667,60.46666666666667,13.677305555555556,100.45544444444447,0.012085591,0.0
1,2023-08-08 12:56:00,9198.398,35.739999999999995,55.92,13.677305555555558,100.45544444444445,0.019313829,0.0
1,2023-08-08 12:57:00,9770.383333333333,36.31666666666666,54.583333333333336,13.677305555555556,100.45544444444447,0.10150552,0.0
1,2023-08-08 12:58:00,9221.75608695652,36.53478260869565,53.51739130434783,13.677305555555556,100.45544444444445,0.016946314,0.0
1,2023-08-08 12:59:00,8844.923703703704,37.029629629629625,52.162962962962965,13.677305555555556,100.45544444444444,0.07575107,0.0
1,2023-08-08 13:00:00,22493.418999999998,36.74,52.813333333333325,13.677305555555556,100.45544444444445,0.6444283,1.0
1,2023-08-08 13:01:00,51605.50892857143,35.60476190476191,56.095238095238095,13.677305555555554,100.45544444444447,0.80111724,1.0
1,2023-08-08 13:02:00,5626.877692307693,35.830769230769235,56.06923076923077,13.677305555555556,100.45544444444445,0.026241617,0.0
1,2023-08-08 13:03:00,4165.507272727273,36.0,55.40909090909091,13.677305555555556,100.45544444444445,0.06514881,0.0
1,2023-08-08 13:04:00,4966.07125,35.7625,56.175,13.677305555555556,100.45544444444445,0.026280943,0.0
1,2023-08-08 13:05:00,3848.4616666666666,36.11666666666667,55.61666666666667,13.677305555555556,100.45544444444447,0.0121892085,0.0
1,2023-08-08 13:06:00,305.68347826086955,36.48695652173913,54.68695652173913,13.677305555555556,100.45544444444445,0.017694764,0.0
1,2023-08-08 13:07:00,174.64916666666667,36.61666666666667,54.00833333333333,13.677305555555556,100.45544444444447,0.015928552,0.0
1,2023-08-08 13:08:00,190.33166666666668,36.475,54.56666666666666,13.677305555555556,100.45544444444447,0.04133396,0.0
1,2023-08-08 13:09:00,154.79500000000002,35.76428571428571,55.778571428571425,13.677305555555554,100.45544444444445,0.54937065,1.0
1,2023-08-08 13:10:00,195.64333333333332,35.0,57.48333333333333,13.677305555555556,100.45544444444447,0.6432409,1.0
1,2023-08-08 13:11:00,148.9542857142857,35.09047619047619,57.647619047619045,13.677305555555554,100.45544444444447,0.005407235,0.0
1,2023-08-08 13:12:00,147.87052631578948,35.578947368421055,56.473684210526315,13.677305555555558,100.45544444444445,0.007952101,0.0
1,2023-08-08 13:13:00,234.42583333333334,35.81666666666667,55.59166666666667,13.677305555555556,100.45544444444447,0.002304198,0.0
1,2023-08-08 13:14:00,177.11129032258063,36.08709677419355,54.86451612903225,13.677305555555556,100.45544444444445,0.0013630623,0.0
1,2023-08-08 13:15:00,174.81666666666666,35.80666666666666,55.42666666666666,13.677305555555556,100.45544444444445,0.0043360307,0.0
