time,no_board,gas_smoke,temperature,humidity,lat,long,proba,is_fire
2023-08-08 12:30:00,1,27417.31,33.9,60.9,13.677305555555556,100.45544444444445,4.706198e-06,0.0
2023-08-08 12:30:01,1,27417.31,33.9,60.9,13.677305555555556,100.45544444444445,4.473235e-06,0.0
2023-08-08 12:30:02,3,2076418.2749999966,37.3,50.4,13.67736111111111,100.4555,3.207386e-06,0.0
2023-08-08 12:30:03,2,416095.81,34.5,50.6,13.67736111111111,100.45544444444445,9.057261e-06,0.0
2023-08-08 12:30:04,1,28323.28,34.0,61.0,13.677305555555556,100.45544444444445,7.2904745e-06,0.0
2023-08-08 12:30:05,1,28323.28,34.0,61.0,13.677305555555556,100.45544444444445,7.3554356e-06,0.0
2023-08-08 12:30:06,3,2035479.37,37.3,50.4,13.67736111111111,100.4555,6.2805575e-06,0.0
2023-08-08 12:30:07,4,6960.76,36.8,54.0,13.677305555555556,100.4555,5.3676927e-06,0.0
2023-08-08 12:30:08,1,20004.25,33.9,60.9,13.677305555555556,100.45544444444445,1.0857495e-05,0.0
2023-08-08 12:30:09,3,1928855.88,37.3,50.4,13.67736111111111,100.4555,9.840909e-06,0.0
2023-08-08 12:30:10,2,320747.09,34.5,50.6,13.67736111111111,100.45544444444445,3.2763168e-05,0.0
2023-08-08 12:30:11,1,26253.76,33.9,61.1,13.677305555555556,100.45544444444445,2.654904e-05,0.0
2023-08-08 12:30:12,3,1963618.0,37.2,50.5,13.67736111111111,100.4555,1.3281046e-05,0.0
2023-08-08 12:30:13,2,427311.19,34.5,50.6,13.67736111111111,100.45544444444445,7.625882e-05,0.0
2023-08-08 12:30:14,4,6641.85,36.7,54.0,13.677305555555556,100.4555,4.1186468e-05,0.0
2023-08-08 12:30:15,1,24867.54,33.9,60.9,13.677305555555556,100.45544444444445,5.6832152e-05,0.0
2023-08-08 12:30:16,2,421660.47,34.5,50.6,13.67736111111111,100.45544444444445,0.00010888175,0.0
2023-08-08 12:30:17,2,421660.47,34.5,50.6,13.67736111111111,100.45544444444445,0.00022713843,0.0
2023-08-08 12:30:18,1,27121.74,33.9,60.9,13.677305555555556,100.45544444444445,0.0002997489,0.0
2023-08-08 12:30:19,1,27121.74,33.9,60.9,13.677305555555556,100.45544444444445,0.00028937683,0.0
2023-08-08 12:30:20,2,360155.03,34.4,50.5,13.67736111111111,100.45544444444445,0.00055520097,0.0
2023-08-08 12:30:21,1,24867.54,33.9,60.9,13.677305555555556,100.45544444444445,0.0010958627,0.0
2023-08-08 12:30:22,1,24867.54,33.9,60.9,13.677305555555556,100.45544444444445,0.0007774753,0.0
2023-08-08 12:30:23,2,433049.69,34.4,50.5,13.67736111111111,100.45544444444445,0.0044825976,0.0
2023-08-08 12:30:24,1,22551.02,33.9,61.0,13.677305555555556,100.45544444444445,0.004445707,0.0
2023-08-08 12:30:25,1,22551.02,33.9,61.0,13.677305555555556,100.45544444444445,0.005638603,0.0
2023-08-08 12:30:26,1,22551.02,33.9,61.0,13.677305555555556,100.45544444444445,0.007816233,0.0
2023-08-08 12:30:27,1,27716.07,33.9,61.1,13.677305555555556,100.45544444444445,0.0055358233,0.0
2023-08-08 12:30:28,1,27716.07,33.9,61.1,13.677305555555556,100.45544444444445,0.005214231,0.0
2023-08-08 12:30:29,1,27716.07,33.9,61.1,13.677305555555556,100.45544444444445,0.004844566,0.0
2023-08-08 12:30:30,1,25970.56,33.9,61.2,13.677305555555556,100.45544444444445,0.027323548,0.0
2023-08-08 12:30:31,1,25970.56,33.9,61.2,13.677305555555556,100.45544444444445,0.03330039,0.0
2023-08-08 12:30:32,1,25970.56,33.9,61.2,13.677305555555556,100.45544444444445,0.020452399,0.0
2023-08-08 12:30:33,1,23553.27,33.9,61.1,13.677305555555556,100.45544444444445,0.04250984,0.0
2023-08-08 12:30:34,1,23553.27,33.9,61.1,13.677305555555556,100.45544444444445,0.10856229,0.0
2023-08-08 12:30:35,1,23553.27,33.9,61.1,13.677305555555556,100.45544444444445,0.047181886,0.0
2023-08-08 12:30:36,1,23298.71,33.9,61.1,13.677305555555556,100.45544444444445,0.06341014,0.0
2023-08-08 12:30:37,3,2076418.2749999966,37.4,50.3,13.67736111111111,100.4555,0.09959947,0.0
2023-08-08 12:30:38,3,2076418.2749999966,37.4,50.3,13.67736111111111,100.4555,0.034305755,0.0
2023-08-08 12:30:39,4,7729.41,36.7,54.0,13.677305555555556,100.4555,0.02034673,0.0
2023-08-08 12:30:40,3,2076418.2749999966,37.5,50.1,13.67736111111111,100.4555,0.044165652,0.0
2023-08-08 12:30:41,1,28943.66,34.0,61.0,13.677305555555556,100.45544444444445,0.07176771,0.0
2023-08-08 12:30:42,4,6188.06,36.7,54.0,13.677305555555556,100.4555,0.12685588,0.0
